accx, accy, accz, magx, magy, magz, roll, pitch, yaw
-0.465552, 0.021411, 0.893345, -0.305340, 0.332220, -0.615300, 0.023963, 0.480293, -0.808712
-0.463478, 0.030500, 0.900177, -0.305340, 0.332220, -0.615300, 0.033869, 0.475243, -0.808712
-0.471164, 0.028792, 0.893589, -0.301420, 0.333340, -0.604520, 0.032209, 0.485012, -0.800604
-0.471957, 0.034465, 0.897615, -0.299320, 0.335160, -0.608300, 0.038377, 0.483763, -0.794421
-0.465552, 0.033550, 0.899018, -0.303940, 0.339500, -0.606480, 0.037301, 0.477537, -0.795639
-0.472628, 0.030012, 0.897005, -0.303800, 0.335580, -0.604940, 0.033446, 0.484701, -0.801184
-0.474519, 0.036600, 0.899811, -0.303800, 0.335580, -0.604940, 0.040653, 0.484950, -0.801184
-0.484279, 0.021899, 0.882182, -0.305200, 0.335720, -0.607040, 0.024819, 0.501911, -0.803265
-0.489769, 0.023973, 0.885964, -0.303100, 0.338100, -0.600600, 0.027052, 0.504842, -0.796317
-0.483730, 0.034404, 0.894687, -0.307160, 0.336560, -0.603680, 0.038435, 0.495342, -0.805208
-0.488122, 0.034343, 0.893162, -0.307300, 0.341040, -0.593880, 0.038432, 0.499849, -0.798854
-0.512339, 0.014274, 0.847107, -0.307300, 0.341040, -0.593880, 0.016849, 0.543886, -0.798854
-0.513254, 0.006954, 0.855647, -0.309400, 0.344540, -0.591500, 0.008127, 0.540290, -0.797164
-0.502823, 0.026962, 0.889563, -0.307720, 0.343140, -0.603120, 0.030300, 0.514277, -0.796481
-0.507703, 0.028731, 0.875167, -0.308280, 0.353920, -0.593320, 0.032817, 0.525441, -0.782035
-0.516121, 0.032452, 0.870775, -0.309400, 0.349160, -0.590520, 0.037251, 0.534741, -0.790547
-0.524905, 0.025010, 0.859368, -0.311780, 0.350560, -0.586460, 0.029095, 0.548137, -0.792365
-0.531127, 0.028914, 0.851316, -0.311780, 0.350560, -0.586460, 0.033951, 0.557541, -0.792365
-0.530029, 0.026535, 0.853085, -0.308420, 0.355740, -0.589120, 0.031095, 0.555724, -0.779720
-0.534970, 0.025803, 0.849120, -0.308980, 0.352800, -0.589120, 0.030379, 0.561999, -0.784729
-0.542351, 0.022509, 0.846558, -0.311780, 0.357980, -0.588840, 0.026583, 0.569617, -0.781977
-0.535336, 0.030683, 0.859734, -0.304780, 0.356440, -0.583240, 0.035674, 0.556641, -0.772878
-0.501847, 0.044286, 0.895663, -0.304780, 0.356440, -0.583240, 0.049405, 0.510202, -0.772878
-0.524661, 0.049105, 0.873947, -0.311080, 0.355320, -0.589120, 0.056129, 0.539971, -0.784559
-0.545706, 0.010309, 0.852902, -0.306880, 0.357280, -0.581000, 0.012086, 0.569154, -0.775108
-0.541070, 0.029097, 0.858270, -0.309260, 0.358960, -0.587020, 0.033889, 0.562228, -0.776608
-0.552233, 0.022631, 0.845155, -0.312900, 0.363160, -0.583520, 0.026771, 0.578605, -0.776642
-0.554917, 0.023058, 0.848144, -0.312900, 0.363160, -0.583520, 0.027180, 0.579203, -0.776642
-0.557479, 0.015067, 0.849852, -0.315000, 0.364000, -0.577500, 0.017727, 0.580490, -0.778808
-0.570350, 0.021167, 0.821426, -0.318080, 0.367360, -0.580300, 0.025763, 0.606763, -0.779076
